40103292500026	SOCIETE D V	SOCIETE D V	Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie	99	Vertou
51338143400085	LENGOW	LENGOW	Conseil en systèmes et logiciels informatiques	199	Nantes
52983026700033	YPRESIA	YPRESIA	Edition de logiciels applicatifs		Orvault
33248402100149	ECRITEL	ECRITEL	Conseil en systèmes et logiciels informatiques	49	Nantes
40356113700213	PHARMAGEST INTERACTIVE CIP	EQUASENS	Conseil en systèmes et logiciels informatiques	49	Saint-Herblain
52167615500026	CAISSE MSA LOIRE ATLANTIQUE VENDEE	MSA LOIRE ATLANTIQUE VENDEE	Activités générales de sécurité sociale	499	Saint-Herblain
53978196300035	DGSYS	DGSYS	Edition de logiciels applicatifs		Nantes
34227069100021	OFFICE DU DOME - NOTAIRES	OFFICE DU DOME - NOTAIRES	Activités juridiques	99	Nantes
05480774800022	EDITIONS QUO VADIS	EDITIONS QUO VADIS	Fabrication d'articles de papeterie	249	Carquefou
53525706700061	4 CAD ERP	4 CAD ERP	Conseil en systèmes et logiciels informatiques	49	Bouguenais
60206248102287	GENERALI VIE	GENERALI VIE	Assurance vie	199	Nantes
42469062600033	MERCURIA	MERCURIA	Edition de logiciels applicatifs	49	La Chapelle-sur-Erdre
32519287000039	LIEU UNIQUE SCENE NATIONALE DE NANTES AS	LIEU UNIQUE SCENE NATIONALE DE NANTES ASSOCIATION CRDC	Gestion de salles de spectacles	49	Nantes
54208445400678	PRIMAGAZ	PRIMAGAZ	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes	199	Nantes
55204499202267	POMONA PASSIONFROID	POMONA	Commerce de gros (commerce interentreprises) de produits surgelés	499	Carquefou
70204275500844	CGI FRANCE	CGI FRANCE	Conseil en systèmes et logiciels informatiques		Nantes
34219149100063	IRIS RESSOURCES HUMAINES	IRIS RESSOURCES HUMAINES	Autres activités de soutien aux entreprises n.c.a.	199	Nantes
64201783401059	CREDIT MUTUEL LEASING	CREDIT MUTUEL LEASING	Crédit-bail	99	Nantes
65202396100798	AVIS LOCATION DE VOITURES	AVIS LOCATION DE VOITURES	Location de courte durée de voitures et de véhicules automobiles légers	19	Nantes
43399417500225	SA EXAKIS	EXAKIS NELITE	Conseil en systèmes et logiciels informatiques		Nantes
78621897400024	SEENOVIA	SEENOVIA	Activités des organisations professionnelles	199	Nantes
